poverty_strata,allocation_residual
Medium,-1.1511524029370586
High (top 25%),-1.4105853557183032
Medium,-0.6496970595221749
Medium,-1.13323123675102
High (top 25%),-1.1268253118657514
Medium,-0.5614346595374524
Medium,-2.5016748790301984
Low (bottom 25%),-0.9638160135965377
Medium,-0.581104171988883
Medium,-1.014014911771638
High (top 25%),-1.4150130252392155
High (top 25%),-1.5386610831896477
Medium,-1.220455721897918
Medium,-0.9604335389158631
Medium,-0.9272510794631097
High (top 25%),-1.388426375224503
Medium,-1.644851311562399
High (top 25%),-1.7394330152315216
Medium,-1.2413144325215817
Medium,-2.010989111862908
High (top 25%),-1.4356444647005784
High (top 25%),-2.3864552000972346
Medium,-2.473141199803042
Medium,-2.1878345529783894
High (top 25%),-1.7518226558958725
Medium,-1.5322716281929172
High (top 25%),-1.4324951175035598
High (top 25%),-1.0350143714359754
Medium,-1.4796799886355334
Medium,-0.48269756526579244
Medium,-0.7892103343592883
Low (bottom 25%),-0.5558560850518032
High (top 25%),-2.7046449316255443
Medium,-2.4954025242819937
High (top 25%),-2.180598825488136
High (top 25%),-0.8270133105963505
Medium,-1.6704383025428726
Medium,-0.7027029903150499
High (top 25%),-1.605669607752627
Low (bottom 25%),-0.7612537750121433
High (top 25%),-1.731848350063359
Medium,-1.1982966295677902
High (top 25%),-0.4325780368413723
Medium,-0.6393155948833691
Medium,-2.2704359420092453
High (top 25%),-1.3598125650874828
Medium,-1.8621197760965882
High (top 25%),-1.0292147215027345
High (top 25%),-1.2345478758848525
High (top 25%),-1.8258701522140934
Medium,-1.3425844111703187
High (top 25%),-1.2758605134607806
Medium,-1.6827059310988515
Medium,-1.6397359237868439
High (top 25%),-1.6566596664789084
Medium,-1.3789402064802063
High (top 25%),-1.2143647269660502
Medium,-1.3427028931729499
Medium,-1.1597919718705594
Medium,-2.663465030285308
Medium,-1.6138528714928373
High (top 25%),-2.341698922441126
High (top 25%),-2.2655337352419522
Medium,-1.5158457285177795
Medium,-1.4923397764666564
Medium,-1.9335733928529855
High (top 25%),-1.5201584486583368
High (top 25%),-2.542683214548551
High (top 25%),-1.5907386589172743
Medium,-1.8665809567913623
High (top 25%),-1.8210592216245998
High (top 25%),-1.9457304805537141
Medium,-1.8285826667732148
Medium,-2.1690654616277016
High (top 25%),-1.7034261921517766
High (top 25%),-1.7990073913810765
High (top 25%),-1.6699366041946941
High (top 25%),-1.2749204311743454
High (top 25%),-1.4228273670222538
High (top 25%),-1.082675344463325
High (top 25%),-1.4091171151097481
High (top 25%),-0.5227037307707795
High (top 25%),-1.0238275763802893
Low (bottom 25%),-1.1275115401998086
Medium,-0.622978939561893
Medium,-1.1313947287383581
Medium,-1.0672398128447758
Medium,-1.5580563680859072
Medium,-1.327777303294423
Medium,-0.4739385739924488
Medium,-1.5688737437468496
Medium,-1.6783548257873309
Medium,-1.344336781968222
High (top 25%),-1.245862613393435
Medium,-1.034503688377438
High (top 25%),-0.9824885924280454
Medium,-1.4603361940827104
Medium,-1.803135248290282
Low (bottom 25%),-1.464168765760466
Medium,-1.2003310985651277
Medium,-1.578637652803869
High (top 25%),-0.08384603132817138
Low (bottom 25%),-1.4123796161450262
Medium,-0.49712393041610586
High (top 25%),-1.0718486310776765
Medium,-1.7078390266582546
Medium,-2.495176091973763
High (top 25%),-1.2997742097153737
Medium,-1.0015414999470758
Low (bottom 25%),-0.9011678427790081
Medium,-1.004494319914281
Medium,-0.5562915801182701
High (top 25%),-1.4266989066686104
Medium,-1.6036592679880406
Medium,-1.067172504751289
Medium,-0.9719853636668727
High (top 25%),-1.1235474393031677
High (top 25%),-0.5564577522037859
Medium,-0.6783391391732466
Medium,-0.9314260190615881
Low (bottom 25%),-0.6137932472095715
Medium,-0.06762742675060188
Low (bottom 25%),-0.5718874430451931
Low (bottom 25%),-0.6322598668113029
Low (bottom 25%),-0.528307919737007
Medium,-0.16851452613141213
Low (bottom 25%),-0.13886270402324366
Medium,-0.4159383579773442
High (top 25%),-0.7212913245688469
Medium,-0.5737205959826842
Medium,-1.5565590672314595
Medium,-1.2988804540674712
Low (bottom 25%),-1.0463126547354467
Low (bottom 25%),-0.8689072791756058
Low (bottom 25%),-0.29887645426500103
Low (bottom 25%),-1.021639912548143
Medium,-0.45926997190832297
Medium,-1.1199760722152377
Medium,-1.1232464296760984
Medium,-1.4294346689160227
Low (bottom 25%),-1.1451305912497773
Medium,-0.3913997931099821
Medium,-0.8998591327256479
Low (bottom 25%),-0.9156654028949059
Low (bottom 25%),-0.17018486855545095
Low (bottom 25%),-0.5457582227524878
Low (bottom 25%),-0.41494355555612117
Medium,0.38207677887919855
Low (bottom 25%),-0.4492165821009303
Low (bottom 25%),-0.09382052759218064
Low (bottom 25%),-0.5247535511347672
Medium,-0.22228483187015627
Medium,-0.5612609168303626
Low (bottom 25%),0.12602433696208468
Low (bottom 25%),-0.5160147060079074
Medium,0.033571718487631644
Low (bottom 25%),-0.47904843156873606
Low (bottom 25%),0.5134502396476486
Low (bottom 25%),0.13848143889083453
Low (bottom 25%),-0.15809323925340069
Medium,-1.560474020916663
Medium,-1.5120443082272388
Medium,0.9469882450604178
Medium,-1.2519955270854528
Medium,-1.0494270425705314
Medium,-1.347093009751918
Medium,-0.42238445645052847
Medium,-0.21612939600615377
Medium,-1.6060170212686764
High (top 25%),-1.0688032580291194
Medium,-1.6886467450009424
Low (bottom 25%),-1.192893873210805
Medium,-1.1361927601731323
Low (bottom 25%),-0.8296924157998872
High (top 25%),-1.2670571359892862
Medium,-1.7745123616081424
Low (bottom 25%),-1.5185750887220038
Medium,-0.06750568905598522
Low (bottom 25%),-0.6701709484708289
High (top 25%),-1.337682969687383
High (top 25%),-0.962755563282722
High (top 25%),-1.3303240322886727
Medium,-1.3590361464882097
Medium,-1.5257104206678873
High (top 25%),-1.327977917822155
Medium,-0.6400414274556901
Medium,-1.127030211497941
Medium,-0.314638303119559
Medium,-0.8351542569688907
High (top 25%),-1.075154246288849
Medium,0.29404899249249156
Medium,-0.3222234803812239
Medium,0.9484102968758357
Low (bottom 25%),-0.5043208427233579
Medium,-0.12792422394914846
Low (bottom 25%),-0.49528959699589675
Low (bottom 25%),-0.30240700045523206
Low (bottom 25%),-0.5056308030382934
Low (bottom 25%),-0.6839534237851848
Medium,1.1713760107281568
Low (bottom 25%),-0.12278713597401025
Low (bottom 25%),-0.47380453746491413
Medium,0.24490778597844617
Low (bottom 25%),-0.4605651347308941
Low (bottom 25%),-0.5595548556921589
Low (bottom 25%),-0.6670984250685635
Medium,-0.37119203677830986
Medium,-0.37826902097606196
Low (bottom 25%),-0.10568331838301825
Medium,-0.20971781144181717
Medium,0.03655019746336932
Low (bottom 25%),-0.2723510752302546
Low (bottom 25%),-0.3419249904494448
Low (bottom 25%),-0.020807054817616046
Low (bottom 25%),0.7686985885054053
Medium,0.7428098501731957
Low (bottom 25%),0.03403342643747518
Low (bottom 25%),0.9534204263367853
Low (bottom 25%),-0.005003461927244875
Low (bottom 25%),0.3763316205100906
Low (bottom 25%),0.15288235545447798
Low (bottom 25%),0.5302717119368364
Low (bottom 25%),-0.3949923874226131
